classroom_id,capacity,utilization_rate,equipment_availability,maintenance_status,floor,building
RM001,100,49.4,No,Poor,1,Block A
RM002,200,61.92,Yes,Poor,5,Block C
RM003,60,78.67,No,Average,3,Block C
RM004,40,73.53,Yes,Good,1,Block D
RM005,100,54.79,No,Poor,4,Block D
RM006,40,75.98,Yes,Good,4,Block D
RM007,100,58.9,Yes,Good,0,Block C
RM008,40,66.29,Yes,Average,3,Block D
RM009,60,75.15,No,Poor,5,Block B
RM010,40,81.07,Yes,Good,4,Block A
RM011,100,74.47,No,Poor,3,Block C
RM012,80,61.87,Yes,Good,3,Block C
RM013,80,60.98,Yes,Average,0,Block C
RM014,60,61.77,Yes,Average,1,Block C
RM015,120,47.0,Yes,Good,5,Block B
RM016,100,58.59,No,Poor,2,Block C
RM017,120,54.07,Yes,Good,4,Block D
RM018,60,59.96,Yes,Average,2,Block D
RM019,60,65.52,Yes,Good,3,Block B
RM020,30,48.66,No,Poor,2,Block D
RM021,40,87.49,No,Poor,4,Block C
RM022,40,53.75,No,Poor,4,Block B
RM023,60,70.57,Yes,Good,0,Block D
RM024,100,68.49,Yes,Average,0,Block D
RM025,30,71.19,Yes,Good,1,Block B
RM026,40,89.95,Yes,Average,1,Block E
RM027,80,45.35,Yes,Average,0,Block E
RM028,80,70.7,Yes,Good,4,Block C
RM029,200,45.16,Yes,Average,5,Block B
RM030,80,56.82,Yes,Good,0,Block E
RM031,40,52.47,Yes,Good,0,Block B
RM032,80,92.52,Yes,Poor,3,Block E
RM033,40,53.52,Yes,Average,1,Block E
RM034,120,50.46,Yes,Poor,3,Block C
RM035,40,58.18,Yes,Good,1,Block C
RM036,300,57.59,No,Poor,1,Block E
RM037,80,85.59,No,Poor,2,Block B
RM038,30,91.54,No,Good,5,Block B
RM039,40,93.85,Yes,Good,2,Block C
RM040,120,85.08,Yes,Good,1,Block E
RM041,80,63.55,Yes,Good,1,Block A
RM042,100,34.25,Yes,Average,4,Block C
RM043,40,62.99,No,Poor,4,Block A
RM044,40,75.33,Yes,Good,0,Block C
RM045,100,85.06,No,Good,2,Block A
RM046,80,68.65,Yes,Good,4,Block C
RM047,200,88.15,No,Poor,2,Block C
RM048,100,69.73,Yes,Good,1,Block D
RM049,40,65.56,No,Average,4,Block D
RM050,60,53.85,No,Average,1,Block C
RM051,40,48.69,No,Poor,5,Block A
RM052,30,62.98,Yes,Good,1,Block B
RM053,40,79.66,Yes,Good,3,Block A
RM054,30,64.93,Yes,Good,4,Block A
RM055,80,81.19,Yes,Good,5,Block C
RM056,120,53.18,Yes,Good,5,Block B
RM057,40,91.6,Yes,Average,0,Block B
RM058,80,49.31,Yes,Poor,2,Block E
RM059,30,82.41,No,Poor,1,Block E
RM060,100,65.79,Yes,Poor,4,Block C
RM061,80,88.07,Yes,Average,4,Block D
RM062,40,62.42,Yes,Average,3,Block B
RM063,60,79.96,Yes,Good,1,Block D
RM064,40,87.5,No,Poor,4,Block B
RM065,80,92.16,No,Average,3,Block C
RM066,80,55.54,Yes,Poor,3,Block D
RM067,120,65.06,Yes,Average,3,Block D
RM068,30,44.92,No,Good,1,Block E
RM069,80,75.56,No,Poor,0,Block B
RM070,80,55.93,Yes,Average,0,Block C
RM071,80,31.63,No,Average,5,Block D
RM072,80,35.05,Yes,Poor,4,Block A
RM073,30,74.03,No,Average,1,Block D
RM074,60,70.49,Yes,Poor,4,Block B
RM075,60,64.71,No,Good,3,Block C
RM076,60,89.22,No,Average,2,Block D
